row_id,dataset_id,adapter,baseline_family,status,reason,claim_status,seed,constants_policy,start_condition,dataset_manifest_sha256,dataset_classification,dataset_category,time_seconds,max_evaluations,final_confirmation_status,final_confirmation_max_abs_error,max_abs_error,mse,dependency_status,denominator_policy,model_expression
noisy_beer_lambert_sweep::eml_reference::seed0::basis_only::blind,noisy_beer_lambert_sweep,eml_reference,eml,unsupported,eml_reference_is_not_blind_search,,0,basis_only,blind,22191e4f90bbf66f2824b268b4fd63affb72fcc9d728f016410266738d03c860,synthetic,noisy_synthetic_sweep,5.0,1000,,,,,local,excluded_from_eml_recovery_denominators,
noisy_beer_lambert_sweep::polynomial_least_squares::seed0::basis_only::blind,noisy_beer_lambert_sweep,polynomial_least_squares,conventional_symbolic_regression,unsupported,polynomial_fit_requires_literal_coefficients,,0,basis_only,blind,22191e4f90bbf66f2824b268b4fd63affb72fcc9d728f016410266738d03c860,synthetic,noisy_synthetic_sweep,5.0,1000,,,,,local,excluded_from_eml_recovery_denominators,
noisy_beer_lambert_sweep::pysr::seed0::basis_only::blind,noisy_beer_lambert_sweep,pysr,conventional_symbolic_regression,unavailable,missing_optional_dependency,,0,basis_only,blind,22191e4f90bbf66f2824b268b4fd63affb72fcc9d728f016410266738d03c860,synthetic,noisy_synthetic_sweep,5.0,1000,,,,,missing,excluded_from_eml_recovery_denominators,
noisy_beer_lambert_sweep::gplearn::seed0::basis_only::blind,noisy_beer_lambert_sweep,gplearn,conventional_symbolic_regression,unavailable,missing_optional_dependency,,0,basis_only,blind,22191e4f90bbf66f2824b268b4fd63affb72fcc9d728f016410266738d03c860,synthetic,noisy_synthetic_sweep,5.0,1000,,,,,missing,excluded_from_eml_recovery_denominators,
noisy_beer_lambert_sweep::eml_reference::seed0::basis_only::warm_start,noisy_beer_lambert_sweep,eml_reference,eml,unsupported,constants_policy_requires_literal_constants,,0,basis_only,warm_start,22191e4f90bbf66f2824b268b4fd63affb72fcc9d728f016410266738d03c860,synthetic,noisy_synthetic_sweep,5.0,1000,,,,,local,excluded_from_eml_recovery_denominators,
noisy_beer_lambert_sweep::polynomial_least_squares::seed0::basis_only::warm_start,noisy_beer_lambert_sweep,polynomial_least_squares,conventional_symbolic_regression,unsupported,adapter_has_no_warm_start_mode,,0,basis_only,warm_start,22191e4f90bbf66f2824b268b4fd63affb72fcc9d728f016410266738d03c860,synthetic,noisy_synthetic_sweep,5.0,1000,,,,,local,excluded_from_eml_recovery_denominators,
noisy_beer_lambert_sweep::pysr::seed0::basis_only::warm_start,noisy_beer_lambert_sweep,pysr,conventional_symbolic_regression,unavailable,missing_optional_dependency,,0,basis_only,warm_start,22191e4f90bbf66f2824b268b4fd63affb72fcc9d728f016410266738d03c860,synthetic,noisy_synthetic_sweep,5.0,1000,,,,,missing,excluded_from_eml_recovery_denominators,
noisy_beer_lambert_sweep::gplearn::seed0::basis_only::warm_start,noisy_beer_lambert_sweep,gplearn,conventional_symbolic_regression,unavailable,missing_optional_dependency,,0,basis_only,warm_start,22191e4f90bbf66f2824b268b4fd63affb72fcc9d728f016410266738d03c860,synthetic,noisy_synthetic_sweep,5.0,1000,,,,,missing,excluded_from_eml_recovery_denominators,
noisy_beer_lambert_sweep::eml_reference::seed0::literal_constants::blind,noisy_beer_lambert_sweep,eml_reference,eml,unsupported,eml_reference_is_not_blind_search,,0,literal_constants,blind,22191e4f90bbf66f2824b268b4fd63affb72fcc9d728f016410266738d03c860,synthetic,noisy_synthetic_sweep,5.0,1000,,,,,local,excluded_from_eml_recovery_denominators,
noisy_beer_lambert_sweep::polynomial_least_squares::seed0::literal_constants::blind,noisy_beer_lambert_sweep,polynomial_least_squares,conventional_symbolic_regression,completed,,failed,0,literal_constants,blind,22191e4f90bbf66f2824b268b4fd63affb72fcc9d728f016410266738d03c860,synthetic,noisy_synthetic_sweep,5.0,1000,failed,0.293234596889918,0.3890748520548238,0.04662875286520422,local,excluded_from_eml_recovery_denominators,0.10638341894490978*x**2 - 0.5998452362113663*x + 0.9610311119428698
