run_id,suite_id,case_id,formula,start_mode,seed,depth,steps,warm_depth,warm_steps,restarts,warm_restarts,perturbation_noise,operator_family,operator_schedule,best_loss,post_snap_loss,snap_min_margin,verifier_status,recovery_class,status,claim_status,claim_id,claim_class,training_mode,evidence_class,return_kind,raw_status,repair_status,repair_verifier_status,repair_accepted_move_count,threshold_policy,dataset_manifest_sha256,provenance_source,provenance_expression,runtime_seconds,active_slot_count,changed_slot_count,warm_start_mechanism,reason,artifact_path
v1-8-family-smoke-exp-blind-raw-0e8e3a02d2a9,v1.8-family-smoke,exp-blind-raw,exp,blind,0,1,6,0,8,1,1,0.0,raw_eml,,0.0,0.0,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,,,blind_training,scaffolded_blind_training_recovered,,,not_attempted,,0,,c237c6da1b08d9529271554abe841aeb1f97b3e9467fb83a6451f2727ecf4c2d,sources/paper.pdf,exp(x),1.4590948750264943,,,,verified,artifacts/campaigns/v1.8-family-smoke-triage/runs/v1.8-family-smoke/v1-8-family-smoke-exp-blind-raw-0e8e3a02d2a9.json
v1-8-family-smoke-exp-blind-ceml1-6f5f824f0a5a,v1.8-family-smoke,exp-blind-ceml1,exp,blind,0,1,6,0,8,1,1,0.0,CEML_1,,0.9999999999996655,1.0,1.0,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,c237c6da1b08d9529271554abe841aeb1f97b3e9467fb83a6451f2727ecf4c2d,sources/paper.pdf,exp(x),1.0735986250219867,,,,train_failed,artifacts/campaigns/v1.8-family-smoke-triage/runs/v1.8-family-smoke/v1-8-family-smoke-exp-blind-ceml1-6f5f824f0a5a.json
v1-8-family-smoke-exp-blind-zeml1-317104765e0b,v1.8-family-smoke,exp-blind-zeml1,exp,blind,0,1,6,0,8,1,1,0.0,ZEML_1,,2.866747375037684,2.866747375038092,1.0,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,c237c6da1b08d9529271554abe841aeb1f97b3e9467fb83a6451f2727ecf4c2d,sources/paper.pdf,exp(x),1.1716153749730438,,,,train_failed,artifacts/campaigns/v1.8-family-smoke-triage/runs/v1.8-family-smoke/v1-8-family-smoke-exp-blind-zeml1-317104765e0b.json
v1-8-family-smoke-exp-blind-ceml2-90ba09a5dd4a,v1.8-family-smoke,exp-blind-ceml2,exp,blind,0,1,6,0,8,1,1,0.0,CEML_2,,0.7599558457779233,1.2206895849232353,0.052125197743832785,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,c237c6da1b08d9529271554abe841aeb1f97b3e9467fb83a6451f2727ecf4c2d,sources/paper.pdf,exp(x),1.1281873749685474,,,,train_failed,artifacts/campaigns/v1.8-family-smoke-triage/runs/v1.8-family-smoke/v1-8-family-smoke-exp-blind-ceml2-90ba09a5dd4a.json
v1-8-family-smoke-exp-blind-zeml2-a372af7f93e7,v1.8-family-smoke,exp-blind-zeml2,exp,blind,0,1,6,0,8,1,1,0.0,ZEML_2,,3.66158143099898,3.661581430999517,1.0,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,c237c6da1b08d9529271554abe841aeb1f97b3e9467fb83a6451f2727ecf4c2d,sources/paper.pdf,exp(x),1.0907133749569766,,,,train_failed,artifacts/campaigns/v1.8-family-smoke-triage/runs/v1.8-family-smoke/v1-8-family-smoke-exp-blind-zeml2-a372af7f93e7.json
v1-8-family-smoke-exp-blind-ceml4-dd30620a15a6,v1.8-family-smoke,exp-blind-ceml4,exp,blind,0,1,6,0,8,1,1,0.0,CEML_4,,0.6339795622340607,1.3360697028631083,0.030991658386014698,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,c237c6da1b08d9529271554abe841aeb1f97b3e9467fb83a6451f2727ecf4c2d,sources/paper.pdf,exp(x),1.0851739589706995,,,,train_failed,artifacts/campaigns/v1.8-family-smoke-triage/runs/v1.8-family-smoke/v1-8-family-smoke-exp-blind-ceml4-dd30620a15a6.json
v1-8-family-smoke-exp-blind-zeml4-bba5d8a1daa3,v1.8-family-smoke,exp-blind-zeml4,exp,blind,0,1,6,0,8,1,1,0.0,ZEML_4,,4.178400535991042,4.178400535991685,1.0,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,c237c6da1b08d9529271554abe841aeb1f97b3e9467fb83a6451f2727ecf4c2d,sources/paper.pdf,exp(x),1.0584609159850515,,,,train_failed,artifacts/campaigns/v1.8-family-smoke-triage/runs/v1.8-family-smoke/v1-8-family-smoke-exp-blind-zeml4-bba5d8a1daa3.json
v1-8-family-smoke-exp-blind-ceml8-23631eb6c4f1,v1.8-family-smoke,exp-blind-ceml8,exp,blind,0,1,6,0,8,1,1,0.0,CEML_8,,0.6127632015333887,1.395183159813234,0.01931128401909854,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,c237c6da1b08d9529271554abe841aeb1f97b3e9467fb83a6451f2727ecf4c2d,sources/paper.pdf,exp(x),1.0562140829861164,,,,train_failed,artifacts/campaigns/v1.8-family-smoke-triage/runs/v1.8-family-smoke/v1-8-family-smoke-exp-blind-ceml8-23631eb6c4f1.json
v1-8-family-smoke-exp-blind-zeml8-fef4c45fa8c1,v1.8-family-smoke,exp-blind-zeml8,exp,blind,0,1,6,0,8,1,1,0.0,ZEML_8,,4.485504223269849,4.485504223270564,1.0,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,c237c6da1b08d9529271554abe841aeb1f97b3e9467fb83a6451f2727ecf4c2d,sources/paper.pdf,exp(x),1.087301917024888,,,,train_failed,artifacts/campaigns/v1.8-family-smoke-triage/runs/v1.8-family-smoke/v1-8-family-smoke-exp-blind-zeml8-fef4c45fa8c1.json
v1-8-family-smoke-exp-blind-zeml8-4-d17ddd5caa2c,v1.8-family-smoke,exp-blind-zeml8-4,exp,blind,0,1,6,0,8,1,1,0.0,ZEML_8,ZEML_8 -> ZEML_4,4.178400535991686,4.178400535991685,1.0,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,c237c6da1b08d9529271554abe841aeb1f97b3e9467fb83a6451f2727ecf4c2d,sources/paper.pdf,exp(x),1.0380312919733115,,,,train_failed,artifacts/campaigns/v1.8-family-smoke-triage/runs/v1.8-family-smoke/v1-8-family-smoke-exp-blind-zeml8-4-d17ddd5caa2c.json
