run_id,suite_id,case_id,formula,start_mode,seed,depth,steps,warm_depth,warm_steps,restarts,warm_restarts,perturbation_noise,best_loss,post_snap_loss,snap_min_margin,verifier_status,recovery_class,status,claim_status,claim_id,claim_class,training_mode,evidence_class,return_kind,raw_status,repair_status,repair_verifier_status,repair_accepted_move_count,threshold_policy,dataset_manifest_sha256,provenance_source,provenance_expression,runtime_seconds,active_slot_count,changed_slot_count,warm_start_mechanism,reason,artifact_path
v1-5-shallow-pure-blind-shallow-exp-pure-blind-38ff2b4c6e37,v1.5-shallow-pure-blind,shallow-exp-pure-blind,exp,blind,0,1,120,0,8,2,1,0.0,2.6117005208843755,6.64175779789699,0.003115820027236982,failed,repaired_candidate,repaired_candidate,recovered,paper-shallow-blind-recovery,measured_training_boundary,blind_training,repaired_candidate,,,repaired,recovered,1,measured_pure_blind_recovery,655388a1adc8c90798742b72d43b06661b0dc270613e23321a785af9c625a3cb,sources/paper.pdf,exp(x),1.6257439579931088,,,,train_failed,artifacts/proof/v1.6/campaigns/proof-shallow-pure-blind/runs/v1.5-shallow-pure-blind/v1-5-shallow-pure-blind-shallow-exp-pure-blind-38ff2b4c6e37.json
v1-5-shallow-pure-blind-shallow-exp-pure-blind-47735df30507,v1.5-shallow-pure-blind,shallow-exp-pure-blind,exp,blind,1,1,120,0,8,2,1,0.0,1.731913896992015e-10,0.0,0.892718587606272,recovered,blind_recovery,recovered,recovered,paper-shallow-blind-recovery,measured_training_boundary,blind_training,blind_training_recovered,,,not_attempted,,0,measured_pure_blind_recovery,c4e2b1c0a78bc57db776470eac8c7d4ec5f1c82743ca96f4d2c08914c4807bbb,sources/paper.pdf,exp(x),1.2715111669967882,,,,verified,artifacts/proof/v1.6/campaigns/proof-shallow-pure-blind/runs/v1.5-shallow-pure-blind/v1-5-shallow-pure-blind-shallow-exp-pure-blind-47735df30507.json
v1-5-shallow-pure-blind-shallow-exp-pure-blind-1325a323dee1,v1.5-shallow-pure-blind,shallow-exp-pure-blind,exp,blind,2,1,120,0,8,2,1,0.0,1.80614515005668e-10,0.0,0.8921300508537197,recovered,blind_recovery,recovered,recovered,paper-shallow-blind-recovery,measured_training_boundary,blind_training,blind_training_recovered,,,not_attempted,,0,measured_pure_blind_recovery,dcebf8f5f83659182566fc8c8aca03393d936e454e4c820ec00b74d6779432d0,sources/paper.pdf,exp(x),1.3132157499785535,,,,verified,artifacts/proof/v1.6/campaigns/proof-shallow-pure-blind/runs/v1.5-shallow-pure-blind/v1-5-shallow-pure-blind-shallow-exp-pure-blind-1325a323dee1.json
v1-5-shallow-pure-blind-shallow-log-pure-blind-9f03a09a571f,v1.5-shallow-pure-blind,shallow-log-pure-blind,log,blind,0,3,120,0,8,2,1,0.0,0.9569696834586892,55.409243032935706,0.0402976765376612,failed,snapped_but_failed,snapped_but_failed,failed,paper-shallow-blind-recovery,measured_training_boundary,blind_training,snapped_but_failed,,,not_repaired,,0,measured_pure_blind_recovery,01c2261015de6d16b8338f86f0a15db26f6eb11ee40e6ca1a6c1c411b6e6236f,sources/paper.pdf,E - log(exp(E)/x),1.790797957975883,,,,train_failed,artifacts/proof/v1.6/campaigns/proof-shallow-pure-blind/runs/v1.5-shallow-pure-blind/v1-5-shallow-pure-blind-shallow-log-pure-blind-9f03a09a571f.json
v1-5-shallow-pure-blind-shallow-log-pure-blind-3941715f3d32,v1.5-shallow-pure-blind,shallow-log-pure-blind,log,blind,1,3,120,0,8,2,1,0.0,0.9529329152614097,55.55914897871823,0.04033413194568508,failed,snapped_but_failed,snapped_but_failed,failed,paper-shallow-blind-recovery,measured_training_boundary,blind_training,snapped_but_failed,,,not_repaired,,0,measured_pure_blind_recovery,3c8d51619ccd81e420d0691d84e7f72acbc26d920bd64cb2bc22bb2d3c7d11d5,sources/paper.pdf,E - log(exp(E)/x),1.7994635000359267,,,,train_failed,artifacts/proof/v1.6/campaigns/proof-shallow-pure-blind/runs/v1.5-shallow-pure-blind/v1-5-shallow-pure-blind-shallow-log-pure-blind-3941715f3d32.json
v1-5-shallow-pure-blind-shallow-log-pure-blind-03a03c8b35da,v1.5-shallow-pure-blind,shallow-log-pure-blind,log,blind,2,3,120,0,8,2,1,0.0,1.2222888531991654,55.48068659566764,0.06369457900345915,failed,snapped_but_failed,snapped_but_failed,failed,paper-shallow-blind-recovery,measured_training_boundary,blind_training,snapped_but_failed,,,not_repaired,,0,measured_pure_blind_recovery,a7614afefce1f52909d1beacfbb4d7cb3fcd85bdba9486d05c2d11a3e3efabee,sources/paper.pdf,E - log(exp(E)/x),1.6882246670429595,,,,train_failed,artifacts/proof/v1.6/campaigns/proof-shallow-pure-blind/runs/v1.5-shallow-pure-blind/v1-5-shallow-pure-blind-shallow-log-pure-blind-03a03c8b35da.json
v1-5-shallow-pure-blind-shallow-radioactive-decay-pure-blind-b8c2dbde649d,v1.5-shallow-pure-blind,shallow-radioactive-decay-pure-blind,radioactive_decay,blind,0,9,120,0,8,2,1,0.0,1.355235671950463,inf,0.0036174245880227773,failed,failed,failed,failed,paper-shallow-blind-recovery,measured_training_boundary,blind_training,failed,,,not_repaired,,0,measured_pure_blind_recovery,be5bd479eef17bcc628e7786fc9afc2b21f4599de00aa5a59da52cc8fb436f2e,sources/FOR_DEMO.md,exp(-0.4*t),44.829318916017655,,,,train_failed,artifacts/proof/v1.6/campaigns/proof-shallow-pure-blind/runs/v1.5-shallow-pure-blind/v1-5-shallow-pure-blind-shallow-radioactive-decay-pure-blind-b8c2dbde649d.json
v1-5-shallow-pure-blind-shallow-radioactive-decay-pure-blind-03920c466c9d,v1.5-shallow-pure-blind,shallow-radioactive-decay-pure-blind,radioactive_decay,blind,1,9,120,0,8,2,1,0.0,0.18376028083347895,0.6502651419040735,0.04705232946631305,failed,snapped_but_failed,snapped_but_failed,failed,paper-shallow-blind-recovery,measured_training_boundary,blind_training,snapped_but_failed,,,not_repaired,,0,measured_pure_blind_recovery,60197b131fa42a45fcfca43ee5d6f60110e5dc78b3ed20c9184994485bd7b624,sources/FOR_DEMO.md,exp(-0.4*t),42.720655041979626,,,,train_failed,artifacts/proof/v1.6/campaigns/proof-shallow-pure-blind/runs/v1.5-shallow-pure-blind/v1-5-shallow-pure-blind-shallow-radioactive-decay-pure-blind-03920c466c9d.json
v1-5-shallow-pure-blind-shallow-radioactive-decay-pure-blind-a48b19cb28a2,v1.5-shallow-pure-blind,shallow-radioactive-decay-pure-blind,radioactive_decay,blind,2,9,120,0,8,2,1,0.0,0.24658289387417723,0.6507869059284055,0.04779148399764549,failed,snapped_but_failed,snapped_but_failed,failed,paper-shallow-blind-recovery,measured_training_boundary,blind_training,snapped_but_failed,,,not_repaired,,0,measured_pure_blind_recovery,8adbdd755771c4d6d12d57830218868f3524ced478be44d0fc3ecb8bfe27e9ed,sources/FOR_DEMO.md,exp(-0.4*t),41.85414516698802,,,,train_failed,artifacts/proof/v1.6/campaigns/proof-shallow-pure-blind/runs/v1.5-shallow-pure-blind/v1-5-shallow-pure-blind-shallow-radioactive-decay-pure-blind-a48b19cb28a2.json
v1-5-shallow-pure-blind-shallow-beer-lambert-pure-blind-d4b6b4704428,v1.5-shallow-pure-blind,shallow-beer-lambert-pure-blind,beer_lambert,blind,0,9,120,0,8,2,1,0.0,70.14358080026344,0.8166316437685428,0.00944240923178663,failed,snapped_but_failed,snapped_but_failed,failed,paper-shallow-blind-recovery,measured_training_boundary,blind_training,snapped_but_failed,,,not_repaired,,0,measured_pure_blind_recovery,aa44ec9d889b6e8e49fb767e360d152329a3b09fc547e96b677554bfd3230e3a,sources/FOR_DEMO.md,exp(-0.8*x),42.014978374994826,,,,train_failed,artifacts/proof/v1.6/campaigns/proof-shallow-pure-blind/runs/v1.5-shallow-pure-blind/v1-5-shallow-pure-blind-shallow-beer-lambert-pure-blind-d4b6b4704428.json
v1-5-shallow-pure-blind-shallow-beer-lambert-pure-blind-8599744dc0b5,v1.5-shallow-pure-blind,shallow-beer-lambert-pure-blind,beer_lambert,blind,1,9,120,0,8,2,1,0.0,0.44493614857412683,3.132019501803632,0.028369606137275905,failed,snapped_but_failed,snapped_but_failed,failed,paper-shallow-blind-recovery,measured_training_boundary,blind_training,snapped_but_failed,,,not_repaired,,0,measured_pure_blind_recovery,396bd28037b00ca6cd4c5e2c6e626f5b9fbecccd1f5f4b61adfb7ebce40c6ba8,sources/FOR_DEMO.md,exp(-0.8*x),42.51942670799326,,,,train_failed,artifacts/proof/v1.6/campaigns/proof-shallow-pure-blind/runs/v1.5-shallow-pure-blind/v1-5-shallow-pure-blind-shallow-beer-lambert-pure-blind-8599744dc0b5.json
v1-5-shallow-pure-blind-shallow-beer-lambert-pure-blind-4908b626f452,v1.5-shallow-pure-blind,shallow-beer-lambert-pure-blind,beer_lambert,blind,2,9,120,0,8,2,1,0.0,0.11355873600058375,0.9429772021147222,0.046599870014876976,failed,snapped_but_failed,snapped_but_failed,failed,paper-shallow-blind-recovery,measured_training_boundary,blind_training,snapped_but_failed,,,not_repaired,,0,measured_pure_blind_recovery,de851c53e04fea4fc0f04950d771639df53e6ac6a44826ddabf5ca3e709d6285,sources/FOR_DEMO.md,exp(-0.8*x),43.979125584010035,,,,train_failed,artifacts/proof/v1.6/campaigns/proof-shallow-pure-blind/runs/v1.5-shallow-pure-blind/v1-5-shallow-pure-blind-shallow-beer-lambert-pure-blind-4908b626f452.json
v1-5-shallow-pure-blind-shallow-scaled-exp-growth-pure-blind-9f934ff0ec8a,v1.5-shallow-pure-blind,shallow-scaled-exp-growth-pure-blind,scaled_exp_growth,blind,0,9,120,0,8,2,1,0.0,12.56139164229063,5.761816499780788,0.01099455976171404,failed,snapped_but_failed,snapped_but_failed,failed,paper-shallow-blind-recovery,measured_training_boundary,blind_training,snapped_but_failed,,,not_repaired,,0,measured_pure_blind_recovery,c09f30525dfeef57ff74e8bb819d68242e78cdcb0fbd7c97ede7418c0a6a2fcb,sources/NORTH_STAR.md,exp(0.4*x),42.28242574998876,,,,train_failed,artifacts/proof/v1.6/campaigns/proof-shallow-pure-blind/runs/v1.5-shallow-pure-blind/v1-5-shallow-pure-blind-shallow-scaled-exp-growth-pure-blind-9f934ff0ec8a.json
v1-5-shallow-pure-blind-shallow-scaled-exp-growth-pure-blind-33355177daa0,v1.5-shallow-pure-blind,shallow-scaled-exp-growth-pure-blind,scaled_exp_growth,blind,1,9,120,0,8,2,1,0.0,155.6161310225644,8.541689841621812,0.028369606137275905,failed,snapped_but_failed,snapped_but_failed,failed,paper-shallow-blind-recovery,measured_training_boundary,blind_training,snapped_but_failed,,,not_repaired,,0,measured_pure_blind_recovery,47ebe1d2f45b21d124bc6f530b80c6abee83c20a600aba83eacd9b462c7f1580,sources/NORTH_STAR.md,exp(0.4*x),42.180061542021576,,,,train_failed,artifacts/proof/v1.6/campaigns/proof-shallow-pure-blind/runs/v1.5-shallow-pure-blind/v1-5-shallow-pure-blind-shallow-scaled-exp-growth-pure-blind-33355177daa0.json
v1-5-shallow-pure-blind-shallow-scaled-exp-growth-pure-blind-a546d2037d2d,v1.5-shallow-pure-blind,shallow-scaled-exp-growth-pure-blind,scaled_exp_growth,blind,2,9,120,0,8,2,1,0.0,1.9030751901769545,0.9041998482952571,0.018644161593956876,failed,snapped_but_failed,snapped_but_failed,failed,paper-shallow-blind-recovery,measured_training_boundary,blind_training,snapped_but_failed,,,not_repaired,,0,measured_pure_blind_recovery,8d044dbfac1f9d7cf743958bf2520fcb7c0bd5993d0b2598bcfb596effc314df,sources/NORTH_STAR.md,exp(0.4*x),41.8563607079559,,,,train_failed,artifacts/proof/v1.6/campaigns/proof-shallow-pure-blind/runs/v1.5-shallow-pure-blind/v1-5-shallow-pure-blind-shallow-scaled-exp-growth-pure-blind-a546d2037d2d.json
